,FREQUENCY,GAMMA
1225,22091.875,9.130629e-07
1226,22091.95,9.216058e-07
1227,22092.025,9.522716e-07
1228,22092.1,9.375946e-07
1229,22092.175,9.448993e-07
1230,22092.25,9.387297e-07
1231,22092.325,9.621882e-07
1232,22092.4,9.450677e-07
1233,22092.475,9.185203e-07
1234,22092.55,9.413054e-07
1235,22092.625,8.741779e-07
1236,22092.7,8.867797e-07
1237,22092.775,8.920422e-07
1238,22092.85,8.467572e-07
1239,22092.925,8.756406e-07
1240,22093.0,8.530883e-07
1241,22093.075,8.463957e-07
1242,22093.15,8.33679e-07
1243,22093.225,8.304415e-07
1244,22093.3,7.96133e-07
1245,22093.375,7.952566e-07
1246,22093.45,7.967433e-07
1247,22093.525,8.119007e-07
1248,22093.6,8.224491e-07
1249,22093.675,8.174573e-07
1250,22093.75,8.172988e-07
1251,22093.825,8.426724e-07
1252,22093.9,8.811469e-07
1253,22093.975,8.456465e-07
1254,22094.05,8.74616e-07
1255,22094.125,8.265706e-07
1256,22094.2,8.942808e-07
1257,22094.275,8.876415e-07
1258,22094.35,9.07085e-07
1259,22094.425,9.340307e-07
1260,22094.5,9.525359e-07
1261,22094.575,9.556519e-07
1262,22094.65,9.486228e-07
1263,22094.725,9.976614e-07
1264,22094.8,9.74042e-07
